,IsDraw,Winteam,Lossteam,gameplayed
289,False,Swanbourne Sand People,Mount Hawt'n'horny,1.0
290,False,Murray Street Tramps,Get Bentley,1.0
291,False,Nedlands Flanders,Shannon Nollamaras,1.0
292,False,Mount Lawless,Heathcote Hangers,1.0
293,False,K-Town Cooks,Hyde Park Hacks,1.0
294,False,North Perth Bald Beavers,Manning Manchilds,1.0
295,False,Maylands Muthapuckas,Inglewood Coldcuts,1.0
296,False,Mosman Mooseknuckles,Stirling Archers,1.0
297,False,Morning Brentwood,Subiaco Silkworms,1.0
298,False,Northbridge MDM8'S,GMLA Jurassic Pucks,1.0
299,False,Salter Point Pint Sucklers,Marmion Mighty Drunks,1.0
300,False,Scarborough Scar Bros,Rocko's Modern Rollers,1.0
301,False,St James Addictions,Rocko Rodents,1.0
302,False,Swanbourne Nudists,Westeros Perth R'hllors,1.0
303,False,Wilson Castaways,Perth Glory Holes,1.0
304,False,Rottnest Holy Quokkamoles,Stirling From the Bottom Now We're Here,1.0
305,False,West Stirling Banjo Breakers,Mörley Crüe,1.0
307,False,Stirling From the Bottom Now We're Here,Nedlands Flanders,1.0
308,False,Mt Pleasant Mounties,Claremont Cereal Killahs,1.0
309,False,Karrakatta Grim Jobs,Riverton Regretzkys,1.0
310,False,Patrick Bateman,GMLA Angels,1.0
311,False,Balcatta Bandits,Churchlands Hellraisers,1.0
312,False,City Beach Kooks,North Beach Bearded Clams,1.0
313,False,Wembley Food Courts,Dianella Demons,1.0
314,False,Heathcote Hangers,Freo Dirty Dog Beachers,1.0
315,False,Rollerburger Leedervillains,Kensington Kermits,1.0
316,False,Greenmount Doom,South Perth Shakas,1.0
317,False,Swan View Draught,Wembley Blue Light Discos,1.0
318,False,Mindarie molotovs,Como Mo Co,1.0
319,False,The Swanbourne Identity,Northbridge MDM8'S,1.0
320,False,How Much Wood Would A Parkwood Park If A Parkwood Could Park Wood,Bayslaughter House 5,1.0
321,False,Innaloominati,Yokine Reservoir Dogs,1.0
322,False,Bayswater Barracudas,Rottnest Holy Quokkamoles,1.0
323,False,Canning Bridge Trolls,50 Shades of Graylands,1.0
324,False,Palmyra Puck Patrol,Scarbara Kadabra,1.0
325,False,K-Town Cooks,Salter Point Pint Sucklers,1.0
326,False,Leeming Chin,South Perth Major Blazers,1.0
327,False,Dalkeith Dalqueefs,Shannon Nollamaras,1.0
328,False,Morley Puck Troopers,Scarborough Scar Bros,1.0
329,False,Hyde Park Hacks,Balingup Bruisers,1.0
330,False,Doubleview Double Yewws,Inglewood Coldcuts,1.0
331,False,Mullaloozers,Maylands Muthapuckas,1.0
332,False,Morning Brentwood,Hungry Spot Heroes,1.0
333,False,Bedford Rave Lords,Booragoonbagz,1.0
334,False,Stoneville Sloths,You Used To Como On My Cell Phone,1.0
336,False,North Perth Bald Beavers,Perth City Puck Pirates,1.0
337,False,Murray Street Tramps,U.S.S.R,1.0
338,False,Perth Glory Holes,Roleystone Henges,1.0
339,True,Wilson Castaways,High Gates,1.0
340,False,Bicton Banter Lords,Black Wall Reach Arounds,1.0
341,False,Lake Mongrels,Westeros Perth R'hllors,1.0
342,False,Labia Menora Explorers,Burswood 6100s,1.0
343,False,Jason Alexander Heights,Yokine Drugs n' Crime,1.0
344,False,Get Bentley,GMLA Jurassic Pucks,1.0
346,False,Manning Manchilds,Subiaco Silkworms,1.0
347,False,Swanbourne Nudists,Marmion Mighty Drunks,1.0
348,False,Hillarys Humpbacks,St James Addictions,1.0
349,False,Bicton Four 'n Twenty,Como At Me Bro,1.0
350,False,Fremantle Metropolis Double Blacks,Dalkeith Urban's,1.0
351,False,Mosman Mooseknuckles,Ocean Beef,1.0
352,False,East Freo Bae Blades,Mount Hawt'n'horny,1.0
353,False,Kalamunda Hillbillies,South Perth Sam's Green Eggs and Ham,1.0
354,False,Dog Swamp Swamp Dogs,Whitfords City Turbo Tuggers,1.0
355,False,Rocko's Modern Rollers,Rocko Rodents,1.0
356,False,Swanbourne Sand People,Stirling Archers,1.0
357,False,Greenmount Doom,Karrakatta Grim Jobs,1.0
358,False,Riverton Regretzkys,West Stirling Banjo Breakers,1.0
359,False,Patrick Bateman,Mindarie molotovs,1.0
360,False,City Beach Kooks,Nedlands Flanders,1.0
361,False,The Swanbourne Identity,Churchlands Hellraisers,1.0
362,False,Dianella Demons,Mörley Crüe,1.0
363,False,Dalkeith Dalqueefs,North Beach Bearded Clams,1.0
364,False,Hungry Spot Heroes,Freo Dirty Dog Beachers,1.0
365,False,How Much Wood Would A Parkwood Park If A Parkwood Could Park Wood,Palmyra Puck Patrol,1.0
366,False,Balcatta Bandits,GMLA Angels,1.0
367,False,Swan View Draught,Mount Lawless,1.0
368,False,Como Mo Co,Heathcote Hangers,1.0
370,False,Bayslaughter House 5,Yokine Reservoir Dogs,1.0
371,False,Mosman Mooseknuckles,Scarborough Scar Bros,1.0
373,False,Scarbara Kadabra,Balingup Bruisers,1.0
374,False,Innaloominati,Hyde Park Hacks,1.0
375,True,Kensington Kermits,Wembley Blue Light Discos,1.0
376,False,Leeming Chin,You Used To Como On My Cell Phone,1.0
377,False,Wembley Food Courts,Hillarys Humpbacks,1.0
378,False,Bicton Banter Lords,Morning Brentwood,1.0
379,False,North Perth Bald Beavers,Rottnest Holy Quokkamoles,1.0
380,False,Northbridge MDM8'S,50 Shades of Graylands,1.0
381,False,Canning Bridge Trolls,Get Bentley,1.0
382,True,Bayswater Croquet Club,Morley Puck Troopers,1.0
383,False,Maylands Muthapuckas,Ocean Beef,1.0
384,False,Perth Glory Holes,South Perth Major Blazers,1.0
385,False,High Gates,Shannon Nollamaras,1.0
386,False,Stoneville Sloths,Dalkeith Urban's,1.0
387,False,Mullaloozers,Inglewood Coldcuts,1.0
388,False,Claremont Cereal Killahs,Bedford Rave Lords,1.0
389,False,GMLA Guardians,Mt Pleasant Mounties,1.0
390,False,Doubleview Double Yewws,Yokine Drugs n' Crime,1.0
391,False,Manning Manchilds,Swanbourne Nudists,1.0
392,False,U.S.S.R,Booragoonbagz,1.0
393,False,Bayswater Barracudas,Murray Street Tramps,1.0
394,False,Como At Me Bro,Perth City Puck Pirates,1.0
395,False,Roleystone Henges,Westeros Perth R'hllors,1.0
396,False,Bicton Four 'n Twenty,Wilson Castaways,1.0
397,False,Lake Mongrels,Stirling From the Bottom Now We're Here,1.0
398,False,Black Wall Reach Arounds,Burswood 6100s,1.0
399,False,Labia Menora Explorers,GMLA Jurassic Pucks,1.0
400,False,Marmion Mighty Drunks,St James Addictions,1.0
402,False,Subiaco Silkworms,Mount Hawt'n'horny,1.0
403,False,Jason Alexander Heights,Swanbourne Sand People,1.0
404,False,Dog Swamp Swamp Dogs,Rocko Rodents,1.0
405,False,Whitfords City Turbo Tuggers,Rocko's Modern Rollers,1.0
408,True,Stirling From The Bottom Now We're Here,You Used To Como On My Cell Phone,1.0
409,False,The Swanbourne Identity,Patrick Bateman,1.0
410,False,Karrakatta Grim Jobs,City Beach Kooks,1.0
411,False,Maylands Muthapuckas,Riverton Regretzkys,1.0
412,False,Greenmount Doom,West Stirling Banjo Breakers,1.0
413,False,Palmyra Puck Patrol,Bayslaughter House 5,1.0
414,False,Balcatta Bandits,Mindarie molotovs,1.0
416,False,Swan View Draught,Mörley Crüe,1.0
418,False,Hungry Spot Heroes,Heathcote Hangers,1.0
419,False,Churchlands Hellraisers,Mosman Mooseknuckles,1.0
420,False,Yokine Reservoir Dogs,How Much Wood Would A Parkwood Park If A Parkwood Could Park Wood,1.0
421,False,GMLA Angels,Freo Dirty Dog Beachers,1.0
